,Location,Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin
707,"
        Dự án KĐT Xa La, Phố Phùng Hưng, Phường Phúc La, Hà Đông, Hà Nội
    ",1100000000.0,68.0,2,2,Tây-Nam,Đông-Nam,"Full trần thạch cao, tủ bếp, nóng lạnh, điều hòa, giường tủ, bếp từ, sàn gỗ, tivi, tủ lạnh,...",Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,10 toà nhà chung cư từ 21 đến 34 tầng,20.962467193603498,105.79236602783199,Tin thường
708,"
        Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",1150000000.0,29.0,1,2,,,,Tập đoàn Vingroup,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,Tin thường
709,"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",4619000000.0,169.0,4,3,,,Đồ cơ bản.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin thường
710,"
        Dự án Yên Hòa Thăng Long, Cầu Giấy, Hà Nội
    ",2650000000.0,94.0,3,2,Đông-Nam,Tây-Bắc,Full nội thất.,Công ty TNHH Thăng Long ,Gồm 27 tầng,21.0175495147705,105.790672302246,Tin thường
711,"
        M5 Nguyễn Chí Thanh, số 91, Đường Nguyễn Chí Thanh, Phường Láng Hạ, Đống Đa, Hà Nội
    ",4050000000.0,149.0,3,2,,Đông-Bắc,, Công ty TNHH Một thành viên quản lý và phát triển nhà Hà Nội,"31 tầng nổi, 5 tầng hầm",21.0211429595947,105.80934906005899,Tin thường
712,"
        Dự án Gemek Tower, Phố Lê Trọng Tấn, Xã An Khánh, Hoài Đức, Hà Nội
    ",1250000000.0,76.0,2,2,,,"Nhà cong mới nguyên có sàn gỗ các phòng, đèn net, tủ bếp, nóng lạnh, rèm, lưới an toàn, thiết bị vệ sinh ToTo...",Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"Gồm 2 tòa tháp cao 34 tầng và 2 tầng hầm, 1 tầng lửng",21.0083923339844,105.73024749755899,Tin thường
713,"
        Riverside Garden, 349, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội
    ",2250000000.0,62.0,2,2,,,"Full nội thất đẹp, nhà còn mới do ít ở.",Công ty CP Đầu tư - Thiết kế và Xây dựng Việt Nam,"Gồm căn hộ, văn phòng, dịch vụ thương mại, biệt thự và liền kề",20.9906997680664,105.814277648926,Tin thường
714,"
        Dự án Riverside Garden, Phố Vũ Tông Phan, Phường Khương Đình, Thanh Xuân, Hà Nội
    ",2500000000.0,70.0,2,2,,Đông-Nam,Full nội thất,Công ty CP Đầu tư - Thiết kế và Xây dựng Việt Nam,"Gồm căn hộ, văn phòng, dịch vụ thương mại, biệt thự và liền kề",20.9906997680664,105.814277648926,Tin thường
715,"
        Dự án Vinhomes West Point, Nam Từ Liêm, Hà Nội
    ",3200000000.0,68.0,2,2,Đông-Bắc,Tây-Nam,"Căn hộ được trang bị đầy đủ nội thất Vinhomes (trần thạch cao thiết bị vệ sinh, ca bin phòng tắm sàn gỗ. Thiết bị p bếp. Bếp từ hút mùi, tủ bếp, trên dưới,., )...",Tập đoàn Vingroup,3 tòa tháp cao tầng và trung tâm thương mại,21.011251808323113,105.7850401401522,Tin thường
716,"
        Dự án Việt Đức Complex, Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội
    ",2700000000.0,89.0,3,2,Tây-Bắc,Đông-Nam,Cơ bản chủ đầu tư.,Công ty CP Tập đoàn Xây dựng và Thiết bị Công nghiệp CIE Corp,Gồm 2 tòa nhà  cao 23 tầng & 2 tòa nhà cao 27 tầng với 3 tầng hầm và 3 tầng văn phòng,20.9996452331543,105.799385070801,Tin thường
717,"
        Dự án Ciputra Hà Nội, Đường Nguyễn Huy Chương, Phường Xuân La, Tây Hồ, Hà Nội
    ",3400000000.0,123.0,3,2,,Đông-Nam,Đầy đủ nội thất.,Công ty TNHH phát triển khu đô thị Nam Thăng Long,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,Tin thường
718,"
        Dự án Hà Thành Plaza, 102 Phố Thái Thịnh, Phường Trung Liệt, Đống Đa, Hà Nội
    ",3300000000.0,114.0,3,2,,,,Công ty CP Đầu tư Phát triển Hà Thành,204 căn hộ,21.0088672637939,105.820343017578,Tin thường
719,"
        Dự án Việt Đức Complex, 39 Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội
    ",2800000000.0,93.0,3,2,Tây-Bắc,Đông-Nam,"Nội thất cơ bản chủ đầu tư: Sàn gỗ, trần thạch cao, thiết bị vệ sinh ToTo...",Công ty CP Tập đoàn Xây dựng và Thiết bị Công nghiệp CIE Corp,Gồm 2 tòa nhà  cao 23 tầng & 2 tòa nhà cao 27 tầng với 3 tầng hầm và 3 tầng văn phòng,20.9996452331543,105.799385070801,Tin thường
720,"
        Dự án Sun Grand City, Tây Hồ, Hà Nội
    ",12000000000.0,210.0,5,4,,,Bàn giao thô.,Tập đoàn Sun Group,"Gồm 2 tòa S1 (21 tầng nổi và 4 tầng hầm) và S2 ( 23 tầng nổi, 5 tầng hầm)",21.04117202758789,105.8250961303711,Tin thường
721,"
        Dự án Ciputra Hà Nội, đường Nguyễn Hoàng Tôn, Phường Xuân La, Tây Hồ, Hà Nội
    ",4100000000.0,153.0,4,2,,,Phòng bếp trang bị tiện nghi đầy đủ các trang thiết bị phục vụ cho nấu ăn.,Công ty TNHH phát triển khu đô thị Nam Thăng Long,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,Tin thường
722,"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3600000000.0,160.66,4,0,,Đông-Nam,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin thường
723,"
        Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội
    ",3450000000.0,58.0,3,2,,,Nội thất đầy đủ,,,21.031537300000004,105.7799318,Tin thường
724,"
        Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.
    ",6100000000.0,104.0,3,2,Đông-Nam,Đông-Bắc,Full nội thất ,Tập đoàn Vingroup,,21.0201683044434,105.78075408935499,Tin thường
725,"
        Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.
    ",3900000000.0,92.0,3,2,,,Full.,Tập đoàn Vingroup,"19 căn / sàn; gồm 2 sảnh A và B; sảnh A:9 căn, sảnh B:10 căn và các căn biệt thự, liền kề",21.0365676879883,105.760482788086,Tin thường
726,"
        Dự án Ecohome 3, Bắc Từ Liêm, Hà Nội
    ",1300000000.0,62.0,2,2,,,,,"5 tòa nhà cao 21 tầng, 1 hầm",21.079837799072266,105.78685760498048,Tin thường
727,"
        Dự án Ecohome 3, Đường Tân Xuân, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",1250000000.0,77.0,2,2,Tây,Đông,,,"5 tòa nhà cao 21 tầng, 1 hầm",21.0798377990723,105.78685760497999,Tin thường
728,"
        Đường Ngọc Hồi, Xã Ngọc Hồi, Thanh Trì, Hà Nội
    ",1650000000.0,78.0,2,2,,,,,,20.9265482,105.849587,Tin thường
729,"
        Dự án Kim Văn Kim Lũ, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội
    ",1750000000.0,65.3,2,2,Tây,Đông,Full nội thất.,Công ty CP Xây dựng số 2 - Vinaconex2,"1 tòa tháp chung cư 40 tầng, 4 tòa tháp chung cư 38 tầng, 3 tòa tháp chung cư 36 tầng",20.9732913970947,105.82000732421899,Tin thường
730,"
        Dự án Florence Mỹ Đình, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội
    ",2900000000.0,95.0,3,2,,,Full.,Công ty CP Xây dựng Phục Hưng Holdings,"Gồm 3 tầng hầm, 25 tầng nổi",21.0300979614258,105.761878967285,Tin thường
731,"
        Dự án Mon City - Hải Đăng City, Đường Hàm Nghi, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội
    ",2900000000.0,85.0,3,2,,,Full,Công ty CP Đầu tư Hải Đăng,Gồm 2 khu Mon Street (147 căn nhà phố thương mại) và Mon Home (2 tòa Mon A và Mon B cùng cao 30 tầng),21.035120010376,105.767433166504,Tin thường
732,"
        Dự án CT36 - Dream Home, Đường Nguyễn Cảnh Dị, Phường Định Công, Hoàng Mai, Hà Nội
    ",1650000000.0,70.0,2,2,,,Nhà đã nội thất cơ bản.,Tổng công ty 36 - Bộ quốc phòng,Gồm 2 tòa tháp A và B cao 25 tầng,20.9785938262939,105.835342407227,Tin thường
733,"
        Dự án Kim Văn Kim Lũ, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội
    ",1550000000.0,66.8,2,2,Đông-Bắc,Tây-Bắc,"Sàn gỗ, tủ bếp, điều hòa, nóng lạnh",Công ty CP Xây dựng số 2 - Vinaconex2,"1 tòa tháp chung cư 40 tầng, 4 tòa tháp chung cư 38 tầng, 3 tòa tháp chung cư 36 tầng",20.9732913970947,105.82000732421899,Tin thường
734,"
        Dự án Eco Green City, Xã Tân Triều, Thanh Trì, Hà Nội
    ",2000000000.0,75.0,2,2,,,,Công ty TNHH Bất động sản và Xây dựng Việt Hưng,Gồm 4 tòa nhà cao 35 tầng cao và 1 tầng hầm,20.9842433929443,105.808448791504,Tin thường
735,"
        Dự án Golden Field Mỹ Đình, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội
    ",2900000000.0,110.0,3,2,,,Full.,Công ty Cổ phần Địa ốc MB,Tòa nhà 30 tầng nổi và 3 tầng hầm,21.035104751586896,105.76554107666,Tin thường
736,"
        Dự án Sun Square, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.
    ",2800000000.0,110.0,3,2,,,Full hiện trạng full nội thất.,Công ty CP Đầu tư Phát triển Đô thị Thăng Long,"Gồm 2 tòa tháp chung cư cao 34 tầng, 2 tòa văn phòng 17 tầng, 1 nhà Club House, 1 tòa nhà 25 tầng kết hợp văn phòng và căn hộ cho thuê",21.033765792846697,105.770301818848,Tin thường
738,"
        Dự án Ecohome 3, Đường Tân Xuân, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",1200000000.0,69.7,2,2,Bắc,Nam,Nội thất cơ bản.,,"5 tòa nhà cao 21 tầng, 1 hầm",21.0798377990723,105.78685760497999,Tin thường
739,"
        Dự án Thăng Long Capital, Xã An Khánh, Hoài Đức, Hà Nội
    ",1200000000.0,61.7,2,2,Tây,Đông,,Công ty CP Đầu tư Kinh doanh và Phát triển hạ tầng KCN Phúc Hà,,21.0096874237061,105.72159576416,Tin thường
740,"
        Dự án Eco Green City, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội
    ",1850000000.0,67.0,2,2,Tây-Bắc,Đông-Nam,,Công ty TNHH Bất động sản và Xây dựng Việt Hưng,Gồm 4 tòa nhà cao 35 tầng cao và 1 tầng hầm,20.9842433929443,105.808448791504,Tin thường
741,"
        Dự án Eco Lake View, Đường Đại Từ, Phường Đại Kim, Hoàng Mai, Hà Nội
    ",1900000000.0,75.0,2,2,Bắc,Nam,Nội thất cơ bản.,Công ty CP Eco Land,"Gồm 2 toà tháp căn hộ HH1, HH2 32 tầng và 1 tòa dịch vụ thương mại 9 tầng",20.973093032836896,105.83837127685499,Tin thường
742,"
        Dự án GoldSeason, 47 Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội
    ",3000000000.0,90.8,3,2,Đông-Nam,Đông-Bắc,,,3 khối nhà cao 35 tầng,20.9947719573975,105.80612945556601,Tin thường
743,"
        Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.
    ",4200000000.0,116.0,3,2,,Đông-Nam,Full full nội thất chỉ việc xách vali về ở.,Tập đoàn Vingroup,"19 căn / sàn; gồm 2 sảnh A và B; sảnh A:9 căn, sảnh B:10 căn và các căn biệt thự, liền kề",21.0365676879883,105.760482788086,Tin thường
744,"
        Dự án Ecohome 3, Bắc Từ Liêm, Hà Nội
    ",1250000000.0,62.0,2,2,Tây,Bắc,,,"5 tòa nhà cao 21 tầng, 1 hầm",21.079837799072266,105.78685760498048,Tin thường
746,"
        Dự án Thăng Long Capital, Xã An Khánh, Hoài Đức, Hà Nội
    ",1300000000.0,69.9,2,2,Tây,Đông,,Công ty CP Đầu tư Kinh doanh và Phát triển hạ tầng KCN Phúc Hà,,21.0096874237061,105.72159576416,Tin thường
747,"
        Dự án Mỹ Đình, Nam Từ Liêm, Hà Nội
    ",4700000000.0,159.6,4,3,,,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"6 block với 3 block 36 tầng và 2 tầng hầm, 3 block 40 tầng và 2 tầng hầm",21.0319290161133,105.76692199707001,Tin thường
748,"
        Dự án Khu Ngoại Giao Đoàn, Bắc Từ Liêm, Hà Nội
    ",3800000000.0,128.0,3,2,Bắc,Nam,Nội thất cơ bản,Tổng công ty Xây dựng Hà Nội,Gồm 23 tòa có chiều cao từ 21 đến 45 tầng,21.06583976745605,105.79814910888672,Tin thường
749,"
        Dự án Hope Residence, Phường Phúc Đồng, Long Biên, Hà Nội
    ",1100000000.0,56.55,2,1,Tây-Bắc,Đông-Nam,Nguyên bản.,,"5 tòa tháp cao 21 tầng, 1.504 căn hộ",21.0404987335205,105.90479278564501,Tin thường
750,"
        Dự án Hà Nội Homeland, Phường Thượng Thanh, Long Biên, Hà Nội
    ",2200000000.0,92.54,3,2,Đông-Nam,Tây-Bắc,Nguyên bản.,Công ty CP Đầu tư Hải Phát Thủ Đô,Gồm 4 tòa tháp cao 18 tầng,21.0576000213623,105.88459777832001,Tin thường
752,"
        Dự án Eco Lake View, Hoàng Mai, Hà Nội
    ",1900000000.0,75.0,2,2,,,,Công ty CP Eco Land,"Gồm 2 toà tháp căn hộ HH1, HH2 32 tầng và 1 tòa dịch vụ thương mại 9 tầng",20.973093032836896,105.83837127685499,Tin thường
753,"
        Dự án Vinhomes Symphony Riverside, Phường Phúc Lợi, Long Biên, Hà Nội
    ",2300000000.0,70.0,2,2,Tây-Nam,Đông-Bắc,Bàn giao full nội thất liền tường,Tập đoàn Vingroup,,21.0461521148682,105.915649414063,Tin thường
754,"
        Đường Thành Công, Phường Thành Công, Ba Đình, Hà Nội
    ",2200000000.0,50.0,2,1,,,,,,21.0219033,105.8157732,Tin thường
755,"
        Dự án Chung cư Booyoung, Hà Đông, Hà Nội
    ",26000000.0,101.0,3,2,,,,Công ty Booyoung,6 toà nhà cao 30 tầng và 3 tầng hầm,20.9824485778809,105.782279968262,Tin thường
756,"
        Dự án Berriver Long Biên, Long Biên, Hà Nội
    ",2600000000.0,80.0,2,2,,,,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,Gồm 5 toà tháp cao 22 tầng,21.0443172454834,105.87786102294922,Tin thường
757,"
        Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3270000000.0,108.7,3,2,Bắc,Nam,Full nội thất liền tường nhập khẩu của Đức.,Công ty CP Terra Gold Việt Nam,Gồm 27 tầng nổi và 3 tầng hầm,20.9984378814697,105.866737365723,Tin thường
758,"
        Dự án IA20 Ciputra, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",2170000000.0,90.51,2,2,Đông-Nam,Tây-Bắc,,Công ty CP Đầu tư Bất động sản Đông Đô - BQP,"Gồm 3 tòa chung cư và các biệt thự, liền kề",21.0919170379639,105.78500366210899,Tin thường
759,"
        Dự án HC Golden City, Đường Nguyễn Văn Cừ, Phường Bồ Đề, Long Biên, Hà Nội
    ",3600000000.0,100.15,3,2,Tây-Nam,Đông-Nam,"* Bàn giao nội thất cơ bản cao cấp: - Sàn gỗ bột đá SPC cao cấp bảo hành 20 năm. - Thiết bị vệ sinh Bravat nhập Đức. - Thiết bị cửa, chuông hình Kaadas nhập Đức. - Thiết bị điện nhập Mỹ. - Đầu chờ điề",Công ty xây dựng 319 Bộ Quốc phòng,"Gần 100 lô liền kề, biệt thự",21.0371780395508,105.87306976318399,Tin thường
760,"
        Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3270000000.0,93.7,3,2,Bắc,Nam,,Công ty CP Tập đoàn Sunshine,3 block cao 31 tầng,20.996685028076197,105.873847961426,Tin thường
761,"
        Dự án Ecolife Tây Hồ, Phường Xuân La, Tây Hồ, Hà Nội
    ",3100000000.0,100.9,3,2,Bắc,Đông,Nội thất cơ bản chủ đầu tư.,Công ty CP Đầu tư và Thương mại Thủ Đô,"Công trình gồm 3 tòa nhà cao 28 và 33 tầng, có 02 tầng hầm để xe",21.0511112213135,105.800590515137,Tin thường
762,"
        Dự án HH3 Linh Đàm, Hoàng Mai, Hà Nội
    ",1360000000.0,67.0,2,2,,,,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,Gồm 3 tòa cao 35 tầng,20.963598251342773,105.82803344726562,Tin thường
763,"
        TSG Lotus Sài Đồng, 190, Phố Sài Đồng, Phường Việt Hưng, Long Biên, Hà Nội
    ",2900000000.0,103.0,3,2,Tây-Bắc,Đông-Nam,"Nội thất đi kèm: Trần thạch cao, sàn gỗ, thiết bị vệ sinh, tủ bếp, khóa cửa...",,"Chung cư cao 25 tầng và 4 tầng hầm, 30 lô Kiot thương mại, 21 căn Shophouse",21.0409755706787,105.91366577148399,Tin thường
764,"
        Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội
    ",2800000000.0,58.0,2,2,Tây-Nam,Đông-Bắc,Full nội thất liền tường cao cấp.,,6 Tòa tháp căn hộ cao từ 30-38 tầng,20.9919490814209,105.940048217773,Tin thường
765,"
        Dự án Sunshine Riverside, Tây Hồ, Hà Nội
    ",2400000000.0,58.0,2,2,,,,Công ty CP Đầu tư Phú Thượng ,,21.081007003784197,105.81809234619101,Tin thường
766,"
        Dự án Sunshine Riverside, Tây Hồ, Hà Nội
    ",3300000000.0,90.0,3,2,Bắc,Nam,Full nội thất liền tường cao cấp,Công ty CP Đầu tư Phú Thượng ,,21.081007003784197,105.81809234619101,Tin thường
767,"
        Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3270000000.0,108.7,3,2,Nam,Bắc,Full nội thất liền tường nhập khẩu của Đức.,Tập đoàn Vingroup,Gồm 11 tòa (T1-T11),20.9947910308838,105.86784362792999,Tin thường
768,"
        Dự án C37 Bộ Công An - Bắc Hà Tower, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội
    ",2100000000.0,84.0,3,2,Đông-Bắc,Tây-Bắc,Cơ bản.,Công ty CP Xây dựng và Thương mại Bắc Hà,"Gồm 2 tòa tháp A - B, cao 28 tầng",20.9968299865723,105.793838500977,Tin thường
769,"
        Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",4500000000.0,99.0,3,2,Tây,Đông-Nam,,Tập đoàn Vingroup,,21.0190830230713,105.78173065185499,Tin thường
770,"
        Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội
    ",2850000000.0,80.0,2,2,,Đông-Bắc,Đầy đủ đồ.,Tập đoàn Vingroup,"19 căn / sàn; gồm 2 sảnh A và B; sảnh A:9 căn, sảnh B:10 căn và các căn biệt thự, liền kề",21.0365676879883,105.760482788086,Tin thường
771,"
        Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội
    ",7200000000.0,121.0,4,2,,Đông-Nam,Đầy đủ đồ.,Tập đoàn Vingroup,,21.0190830230713,105.78173065185499,Tin thường
772,"
        Dự án HPC Landmark 105, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội
    ",2200000000.0,99.0,3,2,Tây-Bắc,Đông-Nam,"Trần thạch cao giật cấp, hệ thống đèn led âm trần, sàn gỗ, điều hòa 2 chiều 18000 BTU, tủ giày, tủ quần áo, tủ bếp trên dưới, chậu rửa, hút mùi, bếp từ, thiết bị vệ sinh cao cấp (bồn tắm, vách kính,..",Công ty CP Đầu tư Hải Phát,Gồm 2 tòa (1 tòa 35 tầng và 1 tòa 50 tầng),20.973667144775398,105.75871276855499,Tin thường
773,"
        Dự án HH1 Linh Đàm, Hoàng Mai, Hà Nội
    ",1250000000.0,71.0,2,2,,,,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,Gồm 3 tòa A - B - C cạnh nhau và cao 40 tầng,20.96473503112793,105.82636260986328,Tin thường
774,"
        Dự án Booyoung, Phố 36, Phường Mỗ Lao, Hà Đông, Hà Nội
    ",2500000000.0,95.54,3,2,,,,Công ty Booyoung,6 toà nhà cao 30 tầng và 3 tầng hầm,20.9824485778809,105.782279968262,Tin thường
775,"
        Dự án The Golden Armor, Phố Nam Cao, Phường Giảng Võ, Ba Đình, Hà Nội
    ",9500000000.0,190.0,3,2,,,,Tổng công ty 36 - Bộ quốc phòng,Tòa nhà cao 24 tầng và 5 tầng hầm,21.0296936035156,105.82151031494101,Tin thường
776,"
        Dự án D’. Le Pont D’or - 36 Hoàng Cầu, Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội
    ",5000000000.0,93.0,2,2,,Đông,,Tân Hoàng Minh Group,"Gồm 2 tòa nhà 23 tầng, 4 tầng hầm",21.0194931030273,105.82234191894501,Tin thường
778,"
        Dự án The Link 345-CT1, Bắc Từ Liêm, Hà Nội
    ",2300000000.0,58.0,2,1,,,cơ bản cđt,Công ty TNHH phát triển khu đô thị Nam Thăng Long,"3 block 21 tầng, 594 căn hộ",21.078651428222656,105.8026123046875,Tin thường
779,"
        Dự án Vinhomes Smart City Đại Mỗ, Nam Từ Liêm, Hà Nội
    ",996000000.0,32.0,1,1,Đông-Nam,Tây-Bắc,,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin thường
780,"
        Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội
    ",3500000000.0,96.0,3,2,,,"Nội thất đã hoàn thiện đầy đủ, không cần sắm thêm đồ gì.",Công ty CP Đầu tư Văn Phú - Invest,"4 tòa tháp V1, V2, V3, V4 có chiều cao 25 – 30 tầng (1 tầng hầm)",21.0160980224609,105.79248809814501,Tin thường
781,"
        Dự án Home City - Trung Kính Complex, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội
    ",2400000000.0,70.6,2,2,Tây-Bắc,Đông-Nam,"Tủ bếp, vệ sinh, điều hòa.",Công ty CP Đầu tư Văn Phú - Invest,"4 tòa tháp V1, V2, V3, V4 có chiều cao 25 – 30 tầng (1 tầng hầm)",21.0160980224609,105.79248809814501,Tin thường
782,"
        Home City - Trung Kính Complex, 177, Phố Trung Kính, Phường Yên Hòa, Cầu Giấy, Hà Nội
    ",2450000000.0,70.5,2,2,Tây-Bắc,Đông-Nam,"Thiết bị vệ sinh, điều hòa, tủ bếp và thiết bị bếp cao cấp, rèm cửa, sofa, tủ lạnh Hitachi 500L...",Công ty CP Đầu tư Văn Phú - Invest,"4 tòa tháp V1, V2, V3, V4 có chiều cao 25 – 30 tầng (1 tầng hầm)",21.0160980224609,105.79248809814501,Tin thường
783,"
        Dự án HH1 Linh Đàm, Hoàng Mai, Hà Nội
    ",1450000000.0,76.0,2,2,,,,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,Gồm 3 tòa A - B - C cạnh nhau và cao 40 tầng,20.96473503112793,105.82636260986328,Tin thường
784,"
        Dự án Đặng Xá 2, Đường Nguyễn Đức Thuận, Xã Đặng Xá, Gia Lâm, Hà Nội
    ",850000000.0,58.0,2,1,Đông-Nam,,"Căn hộ full nội thất đẹp gồm: Điều hoà, nóng lạnh, tủ lạnh, tủ quần áo, bếp từ, bàn học,...",Tổng Công ty Viglacera,,21.0156192779541,105.948608398438,Tin thường
785,"
        Ecolife Capitol, 58, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.
    ",1600000000.0,50.0,2,2,,,,Công ty CP Đầu tư và Thương mại Thủ Đô,"3 tầng hầm, 2 tòa chung cư, 1 tòa officetel - condotel",20.9945335388184,105.789390563965,Tin thường
786,"
        Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",2900000000.0,94.0,3,2,,,Full nội thất.,,,20.9958929,105.8739969,Tin thường
787,"
        Dự án Hồng Hà Eco City, Thanh Trì, Hà Nội
    ",3500000.0,70.0,2,2,Tây-Bắc,Đông-Nam,,,"Gồm công viên cây xanh, các khu vui chơi giải trí, trung tâm thương mại",20.943979263305664,105.85543823242188,Tin thường
788,"
        Dự án Chung cư Đại Thanh, Thanh Trì, Hà Nội
    ",3500000.0,70.0,2,2,Tây-Bắc,Đông-Nam,,Xí nghiệp Xây dựng Tư nhân Số 1 Lai Châu,"Dự án gồm 6 tòa chung cư CT8 (A, B, C) & CT10 (A, B , C) cao 32 tầng, với 2 tầng hầm",20.95757484436035,105.80690002441406,Tin thường
789,"
        Dự án HH1 Linh Đàm, Hoàng Mai, Hà Nội
    ",1240000000.0,76.0,2,2,,,,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,Gồm 3 tòa A - B - C cạnh nhau và cao 40 tầng,20.96473503112793,105.82636260986328,Tin thường
790,"
        Dự án Chung cư IEC Tứ Hiệp, Thanh Trì, Hà Nội
    ",3500000.0,70.0,2,2,Tây-Bắc,Đông-Nam,,,"3 tòa chung cư, 3 dãy liền kề",20.946142196655273,105.85545349121094,Tin thường
791,"
        Dự án Berriver Long Biên, Long Biên, Hà Nội
    ",2400000000.0,78.0,2,2,,,,Công ty CP Đầu tư Xây dựng số 9 Hà Nội,Gồm 5 toà tháp cao 22 tầng,21.0443172454834,105.877861022949,Tin thường
792,"
        Dự án Sunshine Riverside, Tây Hồ, Hà Nội
    ",4000000000.0,114.0,3,2,,,full nội thất cao cấp,Công ty CP Đầu tư Phú Thượng ,,21.08100700378418,105.8180923461914,Tin thường
793,"
        Florence Mỹ Đình, 28, Đường Trần Hữu Dực, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội
    ",3600000000.0,101.0,3,2,Tây-Nam,Đông-Nam,Nội thất cơ bản chủ đầu tư.,Công ty CP Xây dựng Phục Hưng Holdings,"Gồm 3 tầng hầm, 25 tầng nổi",21.0300979614258,105.761878967285,Tin thường
