TITLE,Dia Chi,Loai Thong Tin,So Phong Ngu,So Toilet,Huong Nha,Ban Cong,Muc Gia,Dien Tich,Ngay Dang,Anh chup
" Bán căn hộ 2 phòng ngủ, DT 94.4m2, giá 3.4 tỷ bao phí, hướng Nam tại toà T1 Vinhomes Times City",,,,,,,3.4 tỷ,94.4 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007093943-8745_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007093942-a366_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007093943-1dbb_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007093943-315b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007093943-aee3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007093943-5514_wm.jpg']"
" Bán căn hộ 2PN rộng nhất, 102m2, view sông trực diện, Sun Ancora Lương Yên, giá 5.1 tỷ","Dự án Sun Grand City Ancora Residence, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,Đông-Bắc,5.1 tỷ,102 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/07/08/20200708170944-9000_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/07/08/20200708171131-d03d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/07/08/20200708171131-fd9d_wm.jpg']"
" Bán căn hộ 2PN tại 536A Minh Khai, Hai Bà Trưng, HN - SĐCC","Dự án Chung cư 536A Minh Khai, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,,1.88 tỷ,56 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005104227-5bdd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005104227-088a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005104227-1a65_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005104227-2c2d_wm.jpg']"
" Bán căn hộ 2PN, 1WC Imperia Sky Garden full đồ siêu rẻ, đẹp chỉ 2,43 tỷ. Liên hệ 0976044111",,,,,,,2.43 tỷ,58 m²,02/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/02/20201002153921-bac2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/02/20201002153909-81a9_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/02/20201002153921-315f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/02/20201002153921-a42b_wm.jpg']"
" Bán căn hộ 3 ngủ 110m2, giá cắt lỗ, chỉ 38tr/m2. Lh: 0354 786 870",,,,,,,4.2 tỷ,110 m²,23/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-bd87_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-6fdf_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-fcfe_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-c061_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-e3a1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-b85c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923082143-2637_wm.jpg']"
" Bán căn hộ 3 phòng ngủ, diện tích 117m2, giá 4.050 tỷ bao phí toà T2 Vinhomes Times City",,,,,,,4.05 tỷ,117 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155947-17cb_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155946-9c34_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155946-c1aa_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155948-9261_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155948-b47c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155950-f6a7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155952-13b7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001155953-4690_wm.jpg']"
" Bán căn hộ 46m2, view nội khu, tầng sân vườn dự án Sunshine Garden",,,,,,,Thỏa thuận,46 m²,01/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2019/12/18/20191218190018-18d6_wm.jpg']
" Bán căn hộ 4PN 130m2 tại Hinode City 201 Minh Khai nhà mới tinh nguyên bản CĐT, chỉ 5,8 tỷ bao phí",,,,,,,5.8 tỷ,130 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225815-a8b9_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225831-11f8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225831-a159_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225831-6c67_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225831-54a1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225831-e875_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005225812-f3ed_wm.jpg']"
 Bán căn hộ 4PN tầng trung ban công thoáng mát tại Park Hill,,,,,,,Thỏa thuận,4 PN,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007114625-06af_wm.jpg']
" Bán căn hộ 53m2 Times City, view  nhạc nước, giá 2 tỷ",,,,,,,2 tỷ,53 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/13/20200413160337-48c8_wm.jpg']
" Bán căn hộ 79m2 Park 12, ban công hướng Nam cần tiền bán cắt lỗ",,,,,,,3.2 tỷ,79 m²,01/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/07/20200407100313-53a3_wm.jpg']
" Bán căn hộ 80m2 view thoáng tại Park 2- Times City 3,2 tỷ bao phí",,,,,,,3.2 tỷ,80 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/07/28/20200728115216-3603_wm.jpg']
" Bán căn hộ 82m2, T09 Times City, hướng Nam","Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,Nam,2.9 tỷ,82 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/03/20200403113352-fe6c_wm.jpg']
" Bán căn hộ 906 toà A1, chung cư 229 Phố Vọng",,,,,,,26 triệu/m²,173 m²,29/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131248-25e4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131248-6f97_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131249-9cfe_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131249-94ad_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131249-4e03_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131251-f815_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131251-70e3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/29/20200929131251-56a6_wm.jpg']"
" Bán căn hộ 90m2, giá 4,6 tỷ, tầng cao Ancora Lương Yên view thành phố","Dự án Sun Grand City Ancora Residence, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,Tây-Nam,4.6 tỷ,90 m²,01/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2019/11/15/20191115171000-3237_wm.jpg']
" Bán căn hộ 90m2, hướng ĐN, Ancora Lương Yên, giá 4,55 tỷ","Dự án Sun Grand City Ancora Residence, Đường Lương Yên, Phường Bạch Đằng, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),,,Đông-Nam,4.55 tỷ,90 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/08/18/20200818154201-d4dc_wm.jpg']
" Bán căn hộ 94,4m2 - 2 PN, tòa T4 tại Times City, giá chỉ 3.35 tỷ",,,,,,,3.35 tỷ,94.4 m²,05/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005150141-2130_wm.jpg']
" Bán căn hộ 95m2 dự án HDI 55 Lê Đại Hành giá 7,5 tỷ. LH 0989516655",,,,,,,7.5 tỷ,95 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925092122-6edc_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925092122-d3a3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925092122-58ff_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925092122-a2cb_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/25/20200925092123-8c5d_wm.jpg']"
" Bán căn hộ 97m2 chung cư cao cấp số 10 phố Hoa lư, Hà nội",,,,,,,3.8 tỷ,97 m²,10/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220416-1d10_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220447-34a4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220510-061b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220540-7a4f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220607-5e1d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220628-a9a4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220650-9358_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220710-efef_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220725-47d7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220754-4c5a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/09/20200309220824-8216_wm.jpg']"
 Bán căn hộ cao cấp Times City T11 - Minh Khai - Hai Bà Trưng - Hà Nội,,,,,,,Thỏa thuận,107 m²,23/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/19/20200919122009-7930_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/19/20200919122026-f69f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/19/20200919122056-c4ce_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923090937-b614.jpg']"
" Bán căn hộ chính chủ chung cư TTTM Chợ Mơ, 178m2, giá chỉ 27tr/m2, đầy đủ nội thất, có thể ở ngay",,,,,,,27 triệu/m²,178 m²,04/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/04/20200904115806-18d3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/04/20200904115806-30dd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/04/20200904115806-01ea_wm.jpg']"
" Bán căn hộ chung cư 25 Lạc Trung, 124m2, tầng 7, 3PN, 2WC, căn hộ rộng rãi, giá 27.5 tr/m2",,,,,,,27.5 triệu/m²,150 m²,30/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/02/04/20200204192012-10bc_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/06/24/20190624220010-6cb3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/02/04/20200204192012-222e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/02/04/20200204192012-25c1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/02/04/20200204192012-faba_wm.jpg']"
" Bán căn hộ chung cư cao cấp 378 Minh Khai, căn 3PN, 98m2, ban công hướng Nam, giá 3 tỷ 700","Dự án Green Pearl 378 Minh Khai, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,3 (phÃ²ng),,,Nam,3.7 tỷ,98 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103510-7f81_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103510-60c8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103510-3471_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103511-ec58_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103511-a065_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103512-2b2f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103512-885c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/11/20200911103512-330c_wm.jpg']"
" Bán căn hộ chung cư Imperia Sky Garden 423 Minh Khai 75,04m2, full nội thất, 3,1 tỷ, 0982656698",,,,,,,3.1 tỷ,75.04 m²,01/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001180033-d370_wm.jpg']
" Bán căn hộ chung cư Sunshine Garden 108m2, giá chỉ 3,2 tỷ. Liên hệ 0988780999",,,,,,,3.2 tỷ,108 m²,04/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222351-c4f2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222353-d96e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222353-8a87_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222353-5efd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222354-94e6_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222354-623f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222355-8cf9_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914222356-19a0_wm.jpg']"
" BÁN CĂN HỘ GÓC TOÀ B 423 MINH KHAI, VIEW SÔNG HỒNG ĐẸP MÊ LI - 4.25 TỶ BAO PHÍ - LH 0974 325 996",,,,,,,4.25 tỷ,3 PN,05/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005095228-e1b3_wm.jpg']
 Bán căn hộ HDI Lê Đại Hành 95m2 giá 7 tỷ. LH: 0989516655,,,,,,,7 tỷ,95 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/08/20200908093150-9d28_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/08/20200908093150-4161_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/08/20200908093150-e120_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/08/20200908093150-5d11_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/08/20200908093150-f96b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/08/20200908093150-5e02_wm.jpg']"
 Bán căn hộ hoa hậu Times City 2PN sáng giá chỉ: 3.2 tỷ bao phí,,,,,,,3.2 tỷ,87 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165028-3007_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165027-7ddc_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165028-ac3c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165028-0d02_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165028-ec4c_wm.jpg']"
" Bán căn hộ hướng Nam T04 Times City, 75m2 giá 2,65 tỷ nhà còn rất mới",,,,,,,2.65 tỷ,75 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/24/20200424191659-9671_wm.jpg']
" Bán căn hộ hướng Nam, 81.19m2 Park 6, bằng giá gốc",,,,,,,3.29 tỷ,81.19 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/07/20200407100616-a634_wm.jpg']
" Bán căn hộ P11 Times City Minh Khai, Hai Bà Trưng, 2 PN, 69m2, Đông Nam, giá 3,4 tỷ 0986725549",,,,,,,3.4 tỷ,69 m²,03/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003225631-1fb1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003225638-3004_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003225645-9446_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003225652-d961_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003225713-3aec_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003225717-31e8_wm.jpg']"
" Bán căn hộ Park 3 Times City Park Hill, 151m2, 4 phòng ngủ",,,,,,,6.3 tỷ,151 m²,07/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/16/20200416164638-56f5_wm.jpg']
" Bán căn hộ tại phố Vân Hồ - Lê Đại Hành giá 500 - 890tr/căn, vị trí trung tâm Hà Nội, nhận nhà ngay",,,,,,,500 triệu,35 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/03/04/20200304122150-b53f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/04/20200304122155-9b4f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/04/20200304122207-6f63_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/04/20200304122213-779a_wm.jpg']"
" Bán căn hộ tầng 2 tại 105 Bà Triệu, phường Nguyễn Du, quận Hai Bà Trưng, Hà Nội",,,,,,,Thỏa thuận,20 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/04/08/20200408133145-49e2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/04/08/20200408133145-abb2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/04/08/20200408133145-cdc5_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/04/08/20200408133145-9199_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/04/08/20200408133145-6c06_wm.jpg']"
" Bán căn hộ Times City 2 ngủ sáng tòa T11, 83m2 còn 5 năm dịch vụ, nhà mới, giá 3.2 tỷ bao phí",,,,,,,3.2 tỷ,83.3 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007120557-5c3a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007120557-3ac3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007120557-899d_wm.jpg']"
 BÁN CĂN HỘ TỪ 1 ĐẾN 4 PHÒNG NGỦ GIÁ RẺ NHẤT HIỆN TẠI Ở TIMES CITY. HOTLINE: 0941982288,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),,,,2.6 tỷ,75 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/05/31/20200531221324-7e15_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/31/20200531221328-e264_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/31/20200531221333-d6c8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/31/20200531221342-5590_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/31/20200531221349-4423_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/31/20200531221353-4c77_wm.jpg']"
" Bán căn hoa hậu 2PN sáng Times City = 87m2, giá 3.2 tỷ. LH: 901793288",,,,,,,3.2 tỷ,87 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114144-3ff4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114146-71d4_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114146-b5d3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114202-119e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114203-ae47_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114204-8060_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/30/20200930114205-afef_wm.jpg']"
" Bán căn hoa hậu 2PN sáng tòa Vip nhất Time City. DT 87m2 giá cắt lỗ 3,25 tỷ, LH 0968205369",,,,,,,3.25 tỷ,87 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006155850-dbc5_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006155850-cb91_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006155850-27bd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006155850-db1e_wm.jpg']"
" Bán căn hoa hậu 2PN sáng tòa vip nhất Times City, 87m2, giá cắt lỗ 3,25 tỷ. LH 0968205369",,,,,,,3.25 tỷ,87 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165826-015b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165826-667f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165826-ef05_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165827-f647_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001165827-a9e5_wm.jpg']"
" Bán căn hoa hậu hướng Nam cực hiếm 94,3m2 tại Times City giá thời covid chỉ 3.42 tỷ. 0966674793",,,,,,,3.42 tỷ,94.3 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/24/20200924091741-b7a8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/24/20200924091740-872c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/24/20200924091740-c3f8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/24/20200924091740-418e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/24/20200924091740-8159_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/24/20200924091740-7b2c_wm.jpg']"
" Bán căn hoa hậu hướng nam cực hiếm 94,3m2 tại Times City giá thời Covid chỉ 3.420tỷ. LH:0978468230",,,,,,,3.42 tỷ,94.3 m²,02/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/08/12/20200812090948-1ced_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/12/20200812091100-6c81_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/12/20200812091100-bd03_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/12/20200812090948-1046_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/12/20200812091100-8a89_wm.jpg']"
" Bán căn hoa hậu Times City 2PN 94m2, 3,6 tỷ bao phí. LH 0976912495","Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),,,Nam,3.6 tỷ,94 m²,08/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914144743-3ba1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914144816-b3eb_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914144816-3c58_wm.jpg']"
 Bán căn ngoại giao 3 phòng ngủ chỉ 300 triệu nhận nhà về ở ngay chung cư cao cấp Sunshine Garden,,,,,,,3 tỷ,108 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103240-eef7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103240-73de_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103240-7e80_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103306-0111_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103306-3a92_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103306-34b5_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103306-4040_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/26/20200826103307-825d_wm.jpg']"
" Bán căn nhanh căn hộ 1 phòng ngủ tại Times City, giá rẻ nhất thị trường 1.9 tỷ bao phí",,,,,,,1.9 tỷ,53 m²,03/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202123-da4a_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202124-3a5f_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202124-30db_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202124-66de_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202126-036c_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202126-ca9b_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202127-a631_wm.jpeg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/26/20200926202127-5d2a_wm.jpeg']"
